Current Region,CurrentDistrict,Previous Region,PreviousDistrict,Arrival,ZoneName,OrganisationAcronym,0-4M,0-4F,5-11M,5-11F,12-17M,12-17F,18_59M,18_59F,60+M,60+F,Individuals,Category,Need
SO22,Banadir,SO23,Qoryooley,1/4/2020,South  Central,SRDO,2,2,0,0,0,0,0,1,0,0,5,Conflict/Insecurity,
SO22,Banadir,SO23,Qoryooley,1/3/2020,South  Central,SRDO,2,2,0,0,1,0,0,1,0,0,6,Conflict/Insecurity,
SO22,Banadir,SO23,Qoryooley,1/3/2020,South  Central,SRDO,1,3,0,0,0,0,1,1,0,0,6,Conflict/Insecurity,
SO22,Banadir,SO21,Balcad,1/3/2020,South  Central,SRDO,2,1,0,0,0,0,0,1,0,0,4,Conflict/Insecurity,
SO22,Banadir,SO21,Balcad,1/3/2020,South  Central,SRDO,2,3,0,0,0,0,0,1,0,0,6,Conflict/Insecurity,
SO28,Kismayo,SO28,Jamaame,1/1/2020,South  Central,SEDHURO,0,1,0,1,0,0,1,1,0,0,4,Drought,Shelter
SO28,Kismayo,SO28,Jamaame,1/1/2020,South  Central,SEDHURO,0,1,1,1,1,0,1,1,0,0,6,Conflict/Insecurity,Shelter
SO28,Jamaame,SO28,Jamaame,1/1/2020,South  Central,SEDHURO,1,0,0,1,0,0,1,0,0,0,3,Drought,Shelter
SO28,Kismayo,SO27,Jilib,1/1/2020,South  Central,SEDHURO,0,1,0,0,1,0,1,1,0,0,4,Conflict/Insecurity,Shelter
SO28,Kismayo,SO28,Jamaame,1/2/2020,South  Central,SEDHURO,0,1,0,2,0,1,0,1,0,0,5,Conflict/Insecurity,Food
SO28,Kismayo,SO28,Jamaame,1/2/2020,South  Central,SEDHURO,1,1,0,2,0,1,1,1,0,0,7,Conflict/Insecurity,Food
SO28,Kismayo,SO27,Saakow,1/2/2020,South  Central,SEDHURO,0,1,0,2,0,1,0,1,0,0,5,Drought,Food
SO28,Kismayo,SO28,Kismayo,1/2/2020,South  Central,SEDHURO,0,0,0,1,0,1,1,1,0,0,4,Drought,Food
SO28,Kismayo,SO28,Jamaame,1/2/2020,South  Central,SEDHURO,0,1,0,2,0,1,1,0,0,0,5,Conflict/Insecurity,Food
SO26,Doolow,SO24,Qansax Dheere,1/2/2020,South  Central,Somali Aid,1,1,2,0,0,1,1,1,0,0,7,Drought,Food
SO26,Belet Xaawo,SO26,Luuq,1/2/2020,South  Central,Somali Aid,0,1,1,1,0,2,2,1,0,1,9,Drought,Livelihood support
SO26,Baardheere,SO26,Garbahaarey,1/2/2020,South  Central,SORDES,3,0,1,3,1,0,1,1,0,1,11,Drought,Food
SO26,Baardheere,SO26,Garbahaarey,1/2/2020,South  Central,SORDES,1,2,2,2,0,1,0,1,0,0,9,Drought,Livelihood support
SO22,Banadir,SO23,Qoryooley,1/3/2020,South  Central,SRDO,2,2,0,0,0,0,0,1,0,0,5,Conflict/Insecurity,
